GeneID	Categorization	GuaT CPM	GuaAG CPM	GuaO CPM
FBgn0013152	A	780.9715909	9680.798427	393.9316244
FBgn0013156	XR	100.1835545	138.4564886	215.1315784
FBgn0013161	XL	13.52360281	100.0898746	18.17800603
FBgn0017741	A	21.16360793	2.385706967	0.2606434
FBgn0017770	A	46.91252577	137.5767265	85.91026082
FBgn0020952	A	15.32698769	4.994458863	0.5242747
FBgn0026887	A	2.639465931	4.71834659	0.423226164
FBgn0046127	A	0.27286416	0.221659099	16.20765301
FBgn0064263	A	354.5455734	45.55350833	162.53854
FBgn0064264	XR	247.0026092	78.06961796	79.73205487
FBgn0064265	A	1.475486433	0.328382666	17.47441401
FBgn0064266	A	7.304718833	1.869055256	0.2606434
FBgn0064267	A	5.282046686	3.231856078	173.7503394
FBgn0064269	A	53.91104439	15.82749029	36.89104976
FBgn0064270	A	22.98224823	26.53847768	89.23125712
FBgn0064271	A	175.0504382	1315.012989	1219.589529
FBgn0064272	A	158.6326227	38.33286232	78.2345
FBgn0064274	A	122.2553906	5.020660843	0.221659099
FBgn0064275	A	53.07601608	61.92008438	73.76533433
FBgn0064276	XR	19.7343265	11.85509394	23.77629624
FBgn0064278	A	10.56645503	5.10455698	12.65554882
FBgn0064280	A	9.85870038	13.33314807	1.477706338
FBgn0064281	A	128.1609665	22.93532559	57.46868173
FBgn0064283	A	82.68479786	6.790903052	5.484406227
FBgn0064284	A	562.7108203	170.8583677	115.9907825
FBgn0064290	A	18.46611856	61.4491809	35.90698692
FBgn0064291	A	15.70960773	22.87697202	24.17557905
FBgn0064292	A	0.221659099	0.59179369	2.21230621
FBgn0064293	A	61.92274212	550.6243937	24.73758132
FBgn0064294	A	106.5874356	299.416266	282.6228935
FBgn0064296	A	258.4451749	7.39051642	0.221659099
FBgn0064297	A	23.73374254	69.6436921	1.35261704
FBgn0064298	A	2.567756998	3.797672197	0.484805415
FBgn0064299	XR	246.1443894	8.123989815	0.221659099
FBgn0064300	A	7.642907869	20.07764204	39.90598851
FBgn0064302	A	6.199885982	20.19533543	32.50018905
FBgn0064303	A	116.8279169	233.5369291	138.6429095
FBgn0067109	XR	12.04276178	52.04831532	10.18757053
FBgn0067112	A	7.75947635	7.810705743	33.51041911
FBgn0067113	A	39.06215902	74.84836724	66.59398749
FBgn0067114	A	46.98291894	3.96617311	0.221659099
FBgn0067457	XR	45.7657204	7.732761756	34.25779657
FBgn0068552	A	185.8262833	1331.109884	1351.982674
FBgn0068553	XR	972.517383	262.2279779	479.135116
FBgn0083342	A	9.385768729	1.810608304	0.355486336
FBgn0084066	XR	5.359496207	14.61294055	44.30592816
FBgn0212068	XL	26.42307163	1.442160988	0.238533433
FBgn0212069	XL	2.367557454	6.281890765	10.54549624
FBgn0212070	XL	45.91618398	1.850401858	0.258025584
FBgn0212073	XL	26.62819523	33.19766076	430.1017274
FBgn0212074	XL	158.7602454	1247.424644	1054.831285
FBgn0212075	XL	5.961172404	15.89855018	57.15875369
FBgn0212076	XL	136.6780485	19.67446553	71.39397928
FBgn0212079	XL	26.47051485	31.97791167	17.45022447
FBgn0212081	XL	38.31748286	49.95368675	55.14115135
FBgn0212082	XL	3.831340694	1.186389389	38.61346923
FBgn0212084	XL	5.946885304	11.12326366	8.763768188
FBgn0212087	XL	9.457789876	0.221659099	0.333861353
FBgn0212090	XL	46.42637217	39.66768304	27.91589842
FBgn0212091	XL	20.03658872	13.95225848	52.17383435
FBgn0212092	XL	930.9598378	522.876217	207.15537
FBgn0212093	XL	12.13567302	18.77586577	37.72467112
FBgn0212094	XL	8.891119809	28.56209305	29.49661046
FBgn0212095	XL	7.931136926	7.853030209	20.15568722
FBgn0212096	XL	51.30920326	106.6037762	22.57926092
FBgn0212097	XL	49.86439674	66.60214807	88.91965896
FBgn0212099	XR	5.69841891	3.460535373	42.13555691
FBgn0212100	XL	12.83842429	12.75880221	28.02048604
FBgn0212101	XL	84.82005816	16.37634029	109.817472
FBgn0212102	XL	14.16612278	9.438604864	17.76683102
FBgn0212103	XL	3.574710464	4.399863164	77.78696959
FBgn0212104	XL	32.37462019	115.9868736	184.4819967
FBgn0212106	XL	2.109588631	6.660464262	8.765181784
FBgn0212107	XL	13.21417145	10.72603677	48.81462462
FBgn0212108	XL	50.78181458	26.57920318	22.49212176
FBgn0212109	XL	2.892685313	9.700328613	22.82992157
FBgn0212110	XR	56.80635594	63.0085952	185.3034088
FBgn0212112	XL	11.42622879	15.33198127	16.47406738
FBgn0212113	XL	2.480586345	11.01143158	0.863306377
FBgn0212114	XL	112.2925444	143.0370697	330.3116737
FBgn0212115	XL	53.97792278	2.279827038	0.328383228
FBgn0212116	XL	4.110894499	9.657113823	35.92926981
FBgn0212120	XL	15.59294928	0.485070123	0.221659099
FBgn0212121	XR	142.3341969	262.0028284	101.5409806
FBgn0212122	XL	45.35642735	53.44744936	38.73688116
FBgn0212123	XL	9.878470587	15.24897292	29.75800697
FBgn0212124	XL	5.302293077	2.810913959	24.97374313
