GeneID	Categorization	H4_T CPM	H4_AG CPM	H4_O CPM
FBgn0013152	A	577.0553976	5017.169407	502.2675591
FBgn0013156	XR	113.2466142	137.0352295	211.0269411
FBgn0013161	XL	15.13630076	131.3542067	25.51353338
FBgn0017741	A	10.20634021	2.786347045	1.022692194
FBgn0017770	A	41.58859476	163.9780267	99.55223986
FBgn0020952	A	8.811839495	5.928932929	1.548119581
FBgn0026887	A	6.189924997	2.531568777	0.473473278
FBgn0046127	A	0.641120522	0.251013068	5.442168808
FBgn0064263	A	328.4628833	44.89701341	154.6547078
FBgn0064264	XR	218.5376563	83.35585305	79.30368338
FBgn0064265	A	1.633341184	0.413262157	15.97218747
FBgn0064266	A	3.862807609	31.9869912	0.562861784
FBgn0064267	A	5.798905425	3.1585936	159.3465514
FBgn0064269	A	60.94237415	19.75746401	46.47209431
FBgn0064270	A	27.64915599	32.20403093	100.9694687
FBgn0064271	A	256.0783161	1211.067782	1405.712473
FBgn0064272	A	159.2836393	59.60515007	78.79733065
FBgn0064274	A	109.6606065	2.861892735	0.251013068
FBgn0064275	A	56.29757263	62.79571884	73.68527777
FBgn0064276	XR	19.86287735	12.12679807	26.24562953
FBgn0064278	A	9.253076166	5.086400562	10.60276059
FBgn0064280	A	14.6829159	13.62299914	2.473647712
FBgn0064281	A	142.6028283	18.54282264	41.96100413
FBgn0064283	A	67.17918344	7.800307529	4.202516306
FBgn0064284	A	466.9000938	156.9228195	134.6231366
FBgn0064290	A	23.7765671	88.22277439	46.95961058
FBgn0064291	A	16.36935673	18.11801781	19.58978521
FBgn0064293	A	72.03372334	610.9186842	42.71468736
FBgn0064294	A	117.0852947	255.2265224	298.0339345
FBgn0064296	A	267.6923634	7.062024678	0.27841439
FBgn0064297	A	60.66278706	367.3900314	7.662820687
FBgn0064298	A	4.452133647	3.488601856	0.423381859
FBgn0064299	XR	229.8273594	7.95198972	0.296393264
FBgn0064300	A	7.471892686	22.02264292	39.91153409
FBgn0064302	A	8.763766127	19.27162325	25.19233649
FBgn0064303	A	114.706912	202.6879116	146.3252984
FBgn0067109	XR	21.89455616	74.94128684	14.16784419
FBgn0067112	A	9.367062113	6.118801181	28.13351092
FBgn0067113	A	46.92261272	68.31177298	70.38914062
FBgn0067114	A	49.04350913	2.016570941	0.373886005
FBgn0067457	XR	49.36861365	7.333333178	27.3758548
FBgn0068552	A	271.9942587	1191.848128	1687.634937
FBgn0068553	XR	891.6451965	474.2917038	586.2748646
FBgn0083342	A	5.650963595	2.268559782	0.454122518
FBgn0084066	XR	6.759587068	15.68951644	56.76221074
FBgn0212068	XL	31.01937754	1.045797058	0.273703166
FBgn0212069	XL	3.717823442	6.790716179	14.22032193
FBgn0212070	XL	51.37833723	1.328372638	0.325166472
FBgn0212072	XL	1.593177376	3.874657993	0.530749238
FBgn0212073	XL	31.82250667	45.7474608	516.6825025
FBgn0212074	XL	208.6806614	1415.599649	1546.176399
FBgn0212075	XL	7.303893629	18.32585725	67.34028992
FBgn0212076	XL	146.8882589	24.1001003	72.35601273
FBgn0212079	XL	29.40178305	34.91861436	17.74683011
FBgn0212081	XL	50.42798345	52.41910136	53.11266836
FBgn0212082	XL	4.49259253	1.639130011	35.39397642
FBgn0212084	XL	6.626010923	12.34820017	10.13294856
FBgn0212087	XL	28.24240116	10.529562	17.57493214
FBgn0212090	XL	51.15367238	38.86459944	32.46969486
FBgn0212091	XL	19.6821893	14.23970399	55.82119384
FBgn0212092	XL	930.1140034	530.0346067	134.0404441
FBgn0212093	XL	15.80514048	20.20849893	34.36964601
FBgn0212094	XL	7.507744099	27.81990157	34.78836029
FBgn0212095	XL	8.030343625	8.321199922	18.56107557
FBgn0212096	XL	95.83450357	120.6772883	21.16099058
FBgn0212097	XL	44.61579086	64.44534634	102.5203786
FBgn0212099	XR	5.901237626	3.049287263	30.79985388
FBgn0212100	XL	14.2634381	12.35109897	25.67563331
FBgn0212101	XL	85.71896399	31.12729146	146.3678699
FBgn0212102	XL	16.51986049	9.723126447	17.55695462
FBgn0212103	XL	3.667606345	4.674952059	86.93760366
FBgn0212104	XL	42.68359271	103.4302559	207.9845946
FBgn0212106	XL	2.615336602	6.21150851	7.918924998
FBgn0212107	XL	13.93961207	18.33586152	57.2798622
FBgn0212108	XL	44.2988202	27.03377338	21.75858849
FBgn0212109	XL	2.911884181	9.75364441	23.84997723
FBgn0212110	XR	68.9314162	90.46095425	250.634021
FBgn0212112	XL	12.72252471	12.48523505	16.37607741
FBgn0212113	XL	3.445621069	11.75176209	0.792181423
FBgn0212114	XL	144.3960338	216.2966676	370.2511462
FBgn0212115	XL	52.75563968	2.31320303	0.299137036
FBgn0212116	XL	5.718356502	12.09070126	28.3814583
FBgn0212120	XL	17.86737243	0.589636531	0.296393264
FBgn0212121	XR	209.1677902	302.7095838	112.1644148
FBgn0212122	XL	40.7042503	67.80206202	53.49045054
FBgn0212123	XL	10.46348857	14.89201181	31.86262403
FBgn0212124	XL	7.768342079	3.913791163	22.27650893
FBgn0212125	XL	59.74140047	207.8112922	40.04998538
FBgn0212126	XL	19.85531469	58.13387013	134.0713632
FBgn0212127	XL	232.2124055	99.64485907	83.27067976
FBgn0212128	XL	36.60538073	23.84239505	48.53653429
FBgn0212129	XL	0.539774208	0.348983548	13.61886474
FBgn0212130	XL	26.26825885	52.36198012	90.40698744
FBgn0212131	XL	2.427995545	0.332137613	2368.998154
FBgn0212133	XL	18.57462301	25.01632474	78.88220559
FBgn0212135	XL	12.15288706	22.03777279	11.0831525
FBgn0212136	XL	2.329975738	1.328372638	14.2117655
FBgn0212138	XL	58.12013752	489.8169472	68.72836451
FBgn0212139	XL	9.970975141	22.93503275	31.47531877
FBgn0212140	XL	0.440547207	0.251013068	1171.373917
FBgn0212143	XL	50.05643395	53.40937306	13.64770533
FBgn0212145	XL	36.07499972	31.14389047	62.51350718
FBgn0212146	XL	8.094333781	6.885650305	21.42629029
FBgn0212147	XL	15.28872446	10.12013396	12.64640242
FBgn0212148	XL	166.8343519	6.021146405	3.876985128
FBgn0212150	XL	0.938653989	0.37133956	10.08657489
FBgn0212153	XL	4.889426767	101.9786349	4.570339185
FBgn0212154	XL	62.15365426	75.44917921	109.1653994
FBgn0212155	XL	5.041063948	2.259944575	0.378597229
FBgn0212160	XL	41.61195655	20.3602499	20.18694464
FBgn0212162	XL	82.35082582	2.343858546	4.185260448
FBgn0212164	XL	88.284267	3.032372552	0.251013068
FBgn0212165	XL	151.0332012	4.694903124	0.251013068
FBgn0212166	XL	339.3412428	9.911221158	0.251013068
FBgn0212167	XL	60.10807236	1.423553691	0.251013068
FBgn0212168	XL	66.69993711	2.42808822	0.273703166
FBgn0212169	XL	55.92575793	1.040286981	0.251013068
FBgn0212170	XL	63.01930827	27.1786545	120.6452586
FBgn0212171	XL	10.1080991	13.35354426	15.27794643
FBgn0212172	XL	96.93895742	51.22905522	189.7750073
FBgn0212173	XL	7.238103652	23.69517776	38.49693152
FBgn0212175	XR	13.8887804	15.1130982	28.49750538
FBgn0212176	XL	422.053556	45.16951594	3.902002834
FBgn0212179	XL	15.97493688	1.020335916	0.273703166
FBgn0212180	XL	408.9770333	10.81220635	0.273703166
FBgn0212181	XL	48.30190445	1.339708496	0.251013068
FBgn0212183	XL	4.1788472	31.90385287	0.922834466
FBgn0212184	XL	6.31605913	42.18840573	0.743876701
FBgn0212185	XL	4.571639183	1.364785159	0.32850581
FBgn0212187	XL	11.82055936	36.47579387	37.58655149
FBgn0212189	XL	88.44894006	2.881528097	0.373886005
FBgn0212190	XL	53.19474962	27.96171816	54.54919756
FBgn0212193	XL	71.66044532	2.397117001	0.251013068
FBgn0212194	XL	123.0211255	6.946823784	15.07756114
FBgn0212195	XL	47.58011375	3.085699784	0.868897844
FBgn0212197	XR	13.61369166	16.46682309	15.58215805
FBgn0212199	XL	12.32894074	0.746375543	0.251013068
FBgn0212200	XL	64.27667298	11.61497414	0.251013068
FBgn0212201	XL	34.92190252	66.6230529	62.84669101
FBgn0212202	XL	287.6578179	28.3989435	103.5351663
FBgn0212203	XL	4.490399448	11.75155576	21.38298686
FBgn0212204	XL	33.09245177	43.62768392	37.36863866
FBgn0212205	XL	10.31988355	10.00873838	27.55257736
FBgn0212206	XL	4.409998064	0.648405063	35.9569383
FBgn0212209	XL	134.7415477	3.634320713	0.251013068
FBgn0212210	XL	26.96235095	0.869422684	0.414554977
FBgn0212211	XL	107.1376377	19.46393705	47.09899269
FBgn0212212	XL	17.31081702	48.35351926	35.87021345
FBgn0212214	XL	0.880871758	6.124942665	0.423381859
FBgn0212215	XL	15.68954913	10.60416058	2.14551712
FBgn0212218	XL	23.88640818	0.869422684	0.251013068
FBgn0212219	XR	9.153775395	37.37761681	90.94936959
FBgn0212220	XL	33.54968199	7.46803188	1.373927696
FBgn0212221	XL	13.53324092	10.56837946	10.88005984
FBgn0212222	XL	5.751102715	8.474202397	37.25429116
FBgn0212224	XL	169.2935886	8.189922053	6.523095882
FBgn0212225	XL	4.759127777	16.21843324	3.198304301
FBgn0212226	XL	4.542809628	19.06337115	89.76316519
FBgn0212228	XL	34.40353914	71.05079832	435.6529094
FBgn0212231	XL	89.8700419	70.43526951	186.2482158
FBgn0212232	XL	99.49128028	34.34638702	18.0996702
FBgn0212233	XL	26.88712772	114.6955046	40.80350758
FBgn0212234	XL	50.46035938	553.2706579	71.04645116
FBgn0212235	XL	9.980954663	0.648405063	0.251013068
FBgn0212236	XL	191.4688376	7.126618991	0.275075052
FBgn0212238	XL	78.26062988	2.201560522	0.325166472
FBgn0212239	XL	10.65590412	3.936147175	64.32306902
FBgn0212240	XL	59.92110757	121.1638427	1.713864351
FBgn0212245	XL	10.08821383	85.39882142	11.63350789
FBgn0212246	XL	46.20495947	209.4544062	152.2679011
FBgn0212247	XL	46.97225913	94.96482375	95.98258681
FBgn0212248	XL	4.97074027	27.03370461	27.68507041
FBgn0212249	XL	19.88366979	55.53075662	143.188346
FBgn0212250	XL	8.691667564	10.94606732	42.94843503
FBgn0212253	XL	55.10424527	182.71796	3.333939023
FBgn0212254	XL	177.2350342	209.343784	251.2650441
FBgn0212255	XL	29.30831889	7.512990831	7.043938143
FBgn0212256	XL	25.19068243	21.71916917	25.32875023
FBgn0212260	XL	7.537608894	3.555601115	30.95113987
FBgn0212261	XL	58.75740639	23.53240664	32.49697279
FBgn0212262	XL	16.76227431	19.18687154	29.84566321
FBgn0212264	XL	134.2471379	4.71446971	0.27841439
FBgn0212265	XL	14.35058821	0.930980644	133.113121
FBgn0212266	XL	11.31183407	74.63576222	44.30585134
FBgn0212274	XL	218.6759988	374.7936291	266.9846885
FBgn0212277	XL	2.132581392	1.541159532	14.50673813
FBgn0212278	XL	85.06584912	74.47275658	98.98332693
FBgn0212279	XL	51.6219089	2.319097587	0.251013068
FBgn0212280	XL	244.8945851	7.509885701	0.251013068
FBgn0212281	XL	99.78759078	3.916896293	0.275075052
FBgn0212283	XL	118.1444683	4.658421828	0.273703166
FBgn0212284	XL	278.890125	48.82116451	94.78717802
FBgn0212286	XL	13.79204156	82.00560535	47.57866552
FBgn0212287	XL	34.20346522	43.12437824	73.29895177
FBgn0212290	XL	10.2303141	4.537779633	0.428093082
FBgn0212292	XL	0.836248018	5.273726313	0.714507928
FBgn0212293	XR	0.784971264	34.32047151	0.275075052
FBgn0212295	XL	2.708896476	4.526828255	7.263112319
FBgn0212296	XL	17.91527332	23.94291934	0.689254812
FBgn0212297	XL	4.207922478	0.413262157	5.058511205
FBgn0212299	XL	170.5549443	19.66849321	25.9729349
FBgn0212300	XL	38.86217939	210.0649425	557.1184997
FBgn0212301	XL	7.595241112	33.19449764	7.743212814
FBgn0212302	XL	3.619877404	2.590653013	1.660614348
FBgn0212305	XL	66.24489007	436.0611297	130.1260424
FBgn0212306	XL	0.298963316	8.64862508	0.251013068
FBgn0212309	XL	11.97899709	14.30387323	34.05904849
FBgn0212310	XL	6.972332986	2.134176782	1.269033633
FBgn0212312	XL	9.073150229	43.59085985	64.43925788
FBgn0212315	XL	219.5512974	2520.245525	244.730272
FBgn0212316	XL	174.3463061	55.31259721	417.9697892
FBgn0212317	XL	14.65948282	12.0371677	41.98420538
FBgn0212318	XL	17.20787025	6.127347612	18.32020477
FBgn0212319	XL	49.86053445	46.76367618	43.73870956
FBgn0212320	XL	8.545181128	5.668466435	5.903550506
FBgn0212321	XL	21.29234477	17.5955988	32.68741016
FBgn0212331	XL	0.251013068	0.251013068	21.36304053
FBgn0212336	XR	51.93070233	29.68845856	32.28017265
FBgn0212339	XL	9.455990101	10.25141183	14.88985212
FBgn0212340	XL	91.25767624	164.8076358	36.14408231
FBgn0212342	XL	26.56507657	13.82542546	14.62502323
FBgn0212343	XL	355.5990431	416.0238625	636.5674135
FBgn0212344	XL	6.608665634	42.18112657	94.15659062
FBgn0212345	XL	146.7407677	3.452505039	0.251013068
FBgn0212346	XR	11.24251822	32.65156494	58.96212565
FBgn0212347	XL	20.93623708	18.1382158	40.84520519
FBgn0212348	XL	34.25050087	1.790043243	0.68120425
FBgn0212350	XL	224.9700118	7.518500908	0.305815712
FBgn0212353	XL	147.3176301	4.454181365	0.251013068
FBgn0212354	XL	42.4625146	286.1576051	144.0445758
FBgn0212356	XL	10.65203682	12.71232538	49.62162479
FBgn0212357	XR	6.241939441	1.848811775	0.345889118
FBgn0212358	XL	21.79956531	22.01162277	24.90272801
FBgn0212359	XL	86.5290127	2.621308529	0.251013068
FBgn0212360	XL	58.43261888	1.815119905	0.251013068
FBgn0212362	XL	23.06164773	1.266814679	37.09252501
FBgn0212363	XL	2.372258859	7.669098436	1.358873348
FBgn0212364	XL	4.59817747	13.04968603	42.72962249
FBgn0212365	XL	17.59950439	15.50763199	20.01714022
FBgn0212366	XL	0.398116548	0.251013068	54.6094912
FBgn0212367	XL	8.022557185	23.76818095	49.07811069
FBgn0212371	XL	39.11742974	45.52651195	77.68956301
FBgn0212372	XL	18.48900207	48.18116784	43.23126972
FBgn0212373	XL	47.65607962	5.962377873	23.52989855
FBgn0212374	XL	27.54093536	40.97945704	27.62223411
FBgn0212376	XL	262.3140207	1677.205032	173.1302646
FBgn0212377	XL	93.76737669	55.27049646	68.73354533
FBgn0212378	XL	16.68534697	23.96292788	25.38530453
FBgn0212386	XR	493.2790277	29.81834737	37.68597627
FBgn0212391	XR	26.00113098	17.74873883	38.01441507
FBgn0212399	XR	20.34085313	30.2514111	29.69630545
FBgn0212404	XR	63.54371504	2.134492486	0.251013068
FBgn0212406	XR	2.712149214	6.348365233	3.93646395
FBgn0212415	XR	6.34291691	5.76357871	2.910842681
FBgn0212417	A	2.233015587	2.705153724	2.96779353
FBgn0212423	XR	35.58017256	24.76067944	57.5779765
FBgn0212427	XR	41.17554866	4.325624146	19.10636093
FBgn0212436	XR	29.75556907	0.729529608	0.329877695
FBgn0212437		42.96172987	38.51146621	47.78914444
FBgn0212439	XR	87.11396853	93.22582298	105.6471097
FBgn0212442		6.57926787	0.430108092	2.434405282
FBgn0212443	XR	56.48270113	20.78777538	7.612687221
FBgn0212449	XR	1.411429678	1.062642993	3.790935961
FBgn0212452	XR	1.755927504	0.953336656	3.201824393
FBgn0212458	XR	8.358135147	24.98260358	2.685998856
FBgn0212466	XR	2.902125966	90.95441009	12.79660376
FBgn0212469	XR	49.26940859	12.30258164	53.90035497
FBgn0212476	XR	57.31008224	136.3476299	418.9154119
FBgn0212484	XR	10.10250574	30.54411163	73.64125378
FBgn0212485	XR	8.189693476	19.28264341	35.83531791
FBgn0212489	XR	7.356328225	9.720268243	39.87140603
FBgn0212498	XR	10.44466295	10.223999	21.69566237
FBgn0212501	XR	52.57975847	42.23067667	47.31600986
FBgn0212505	XR	8.974220778	13.28761836	31.37974202
FBgn0212506	A	4.413324571	0.469310039	0.251013068
FBgn0212508	XR	11.38575439	7.201917755	3.643168712
FBgn0212515	XR	7.163148088	60.86837644	2.993406802
FBgn0212519	XR	80.33912995	80.10859146	96.48537322
FBgn0212521	XR	14.63738004	3.057517991	1.649909716
FBgn0212525	XR	7.532310612	45.31993532	40.55093744
FBgn0212526	XR	27.169034	58.59709664	143.8628588
