GeneID	Categorization	Uru_T CPM	Uru_AG CPM	Uru_O CPM
FBgn0013152	A	368.211721	5843.220315	361.7982754
FBgn0013156	XR	67.20473312	91.21238254	175.6524469
FBgn0013161	XL	11.00636141	84.69628382	10.8992723
FBgn0017770	A	43.20340864	156.5149349	87.56578298
FBgn0020952	A	10.4392259	4.184358326	0.600626309
FBgn0026887	A	10.63142491	2.712921816	0.395312684
FBgn0046127	A	0.640202765	0.233939808	9.326201828
FBgn0064263	A	329.3104824	41.98219311	144.079408
FBgn0064264	XR	242.1348658	76.19769926	66.61206308
FBgn0064265	A	0.986633098	0.233939808	15.19203726
FBgn0064266	A	4.459642416	1.554046347	0.356704716
FBgn0064267	A	2.657694916	2.712921816	179.9062959
FBgn0064269	A	65.76325531	14.98563788	43.40184881
FBgn0064270	A	25.09720316	30.0885828	87.37507086
FBgn0064271	A	165.5615886	1555.277427	808.2592002
FBgn0064272	A	170.6173938	43.64584108	74.35147313
FBgn0064274	A	149.4943701	1.480714809	0.255074993
FBgn0064275	A	61.34723749	60.55929142	68.66576609
FBgn0064276	XR	19.95447837	12.61371996	25.06877313
FBgn0064278	A	6.295706299	5.836188659	9.765682336
FBgn0064280	A	14.6378578	11.51424387	1.989130693
FBgn0064281	A	150.481251	18.76556548	41.47154103
FBgn0064283	A	62.08434923	7.791597522	3.151757931
FBgn0064284	A	613.0808723	137.9223482	122.7080524
FBgn0064290	A	18.90059433	74.8452613	37.20179902
FBgn0064291	A	12.00911206	22.93944777	16.00104254
FBgn0064293	A	78.85034304	488.868962	30.39753365
FBgn0064294	A	91.19370754	355.5214585	286.6331859
FBgn0064296	A	302.9935634	3.35628806	0.233939808
FBgn0064297	A	29.31068065	56.86620628	3.980449252
FBgn0064299	XR	326.6372357	4.071427803	0.253404614
FBgn0064300	A	5.907215886	18.18068002	26.49046843
FBgn0064302	A	7.684434282	25.37168727	30.69737129
FBgn0064303	A	105.7695403	193.0548958	120.1426525
FBgn0067109	XR	15.00215792	56.22122791	12.23644477
FBgn0067112	A	7.37023518	7.416243687	31.35922458
FBgn0067113	A	47.85060331	72.69029405	57.1870815
FBgn0067114	A	43.31253475	0.569694658	0.312120679
FBgn0067457	XR	19.18997384	3.674079696	26.94048389
FBgn0068552	A	182.9471686	1520.631563	1086.162415
FBgn0068553	XR	885.2116893	194.5571081	522.8141567
FBgn0084066	XR	5.480262854	17.36809815	51.03313793
FBgn0212068	XL	12.13905585	0.347507974	0.255074993
FBgn0212069	XL	2.555756971	8.182720696	12.3607519
FBgn0212070	XL	56.05595307	1.720227065	0.331585485
FBgn0212073	XL	26.70421372	36.45766716	456.9208448
FBgn0212074	XL	144.5660786	1930.034232	1035.443067
FBgn0212075	XL	4.037940393	16.02232478	48.74562201
FBgn0212076	XL	154.3179905	18.14108104	55.59028087
FBgn0212079	XL	27.65261437	40.13604221	17.90436056
FBgn0212081	XL	42.68201979	59.54771486	48.52742291
FBgn0212082	XL	12.90809298	0.881618056	34.74672275
